,cid,indivs,org_name,pacs,total,year,bioguide_id,birthdate,comments,congress_office,exit_code,facebook_id,fax,feccandid,first_elected,firstlast,gender,lastname,office,party,phone,twitter_id,votesmart_id,webform,website,youtube_url
0,N00036154,30400,"Conner, Strong & Buckelew",0,30400,2014,N000188,1958-12-13,,1531 Longworth House Office Building,0,DonaldNorcrossNJ,202-225-6583,H4NJ01084,2014,Don Norcross,M,NORCROSS,NJ01,D,202-225-6501,DonaldNorcross,,http://norcross.house.gov/contact,https://norcross.house.gov,
1,N00036154,1000,Plumbers/Pipefitters Union,25000,26000,2014,N000188,1958-12-13,,1531 Longworth House Office Building,0,DonaldNorcrossNJ,202-225-6583,H4NJ01084,2014,Don Norcross,M,NORCROSS,NJ01,D,202-225-6501,DonaldNorcross,,http://norcross.house.gov/contact,https://norcross.house.gov,
2,N00036154,21800,Charter School Management,0,21800,2014,N000188,1958-12-13,,1531 Longworth House Office Building,0,DonaldNorcrossNJ,202-225-6583,H4NJ01084,2014,Don Norcross,M,NORCROSS,NJ01,D,202-225-6501,DonaldNorcross,,http://norcross.house.gov/contact,https://norcross.house.gov,
3,N00036154,1150,Intl Brotherhood of Electrical Workers,20000,21150,2014,N000188,1958-12-13,,1531 Longworth House Office Building,0,DonaldNorcrossNJ,202-225-6583,H4NJ01084,2014,Don Norcross,M,NORCROSS,NJ01,D,202-225-6501,DonaldNorcross,,http://norcross.house.gov/contact,https://norcross.house.gov,
4,N00036154,1000,Carpenters & Joiners Union,20000,21000,2014,N000188,1958-12-13,,1531 Longworth House Office Building,0,DonaldNorcrossNJ,202-225-6583,H4NJ01084,2014,Don Norcross,M,NORCROSS,NJ01,D,202-225-6501,DonaldNorcross,,http://norcross.house.gov/contact,https://norcross.house.gov,
5,N00036154,20950,Cooper University Hospital,0,20950,2014,N000188,1958-12-13,,1531 Longworth House Office Building,0,DonaldNorcrossNJ,202-225-6583,H4NJ01084,2014,Don Norcross,M,NORCROSS,NJ01,D,202-225-6501,DonaldNorcross,,http://norcross.house.gov/contact,https://norcross.house.gov,
6,N00036154,0,American Federation of Teachers,20000,20000,2014,N000188,1958-12-13,,1531 Longworth House Office Building,0,DonaldNorcrossNJ,202-225-6583,H4NJ01084,2014,Don Norcross,M,NORCROSS,NJ01,D,202-225-6501,DonaldNorcross,,http://norcross.house.gov/contact,https://norcross.house.gov,
7,N00036154,0,Ironworkers Union,20000,20000,2014,N000188,1958-12-13,,1531 Longworth House Office Building,0,DonaldNorcrossNJ,202-225-6583,H4NJ01084,2014,Don Norcross,M,NORCROSS,NJ01,D,202-225-6501,DonaldNorcross,,http://norcross.house.gov/contact,https://norcross.house.gov,
8,N00036154,0,Laborers Union,20000,20000,2014,N000188,1958-12-13,,1531 Longworth House Office Building,0,DonaldNorcrossNJ,202-225-6583,H4NJ01084,2014,Don Norcross,M,NORCROSS,NJ01,D,202-225-6501,DonaldNorcross,,http://norcross.house.gov/contact,https://norcross.house.gov,
9,N00036154,0,Painters & Allied Trades Union,20000,20000,2014,N000188,1958-12-13,,1531 Longworth House Office Building,0,DonaldNorcrossNJ,202-225-6583,H4NJ01084,2014,Don Norcross,M,NORCROSS,NJ01,D,202-225-6501,DonaldNorcross,,http://norcross.house.gov/contact,https://norcross.house.gov,
