,bioguide_id,birthdate,cid,comments,congress_office,exit_code,facebook_id,fax,feccandid,first_elected,firstlast,gender,lastname,office,party_x,phone,twitter_id,votesmart_id,webform,website,youtube_url,affiliate,bioguide,crp_id,district,id,image_available,name,party_y,resource_uri,state,title
0,N000188,1958-12-13,N00036154,,1531 Longworth House Office Building,0,DonaldNorcrossNJ,202-225-6583,H4NJ01084,2014,Don Norcross,M,NORCROSS,NJ01,D,202-225-6501,DonaldNorcross,,http://norcross.house.gov/contact,https://norcross.house.gov,,,,,,,,,,,,
1,L000554,1946-05-12,N00000851,Retiring at end of 115th,2427 Rayburn House Office Building,4,FrankLoBiondo,202-225-3318,H2NJ02037,1994,Frank LoBiondo,M,LOBIONDO,NJ02,R,202-225-6572,RepLoBiondo,21890,https://lobiondo.house.gov/contact-me/email-me,http://lobiondo.house.gov,https://youtube.com/USRepFrankLoBiondo,,L000554,N00000851,2,480.0,True,Frank LoBiondo,R,/api/v1/lawmaker/480/,NJ,Rep.
2,M001193,1960-10-16,N00036155,,506 Cannon House Office Building,0,CongressmanTomMacArthur,202-225-0778,H4NJ03130,2014,Thomas MacArthur,M,MACARTHUR,NJ03,R,202-225-4765,RepTomMacArthur,,,https://macarthur.house.gov,,,,,,,,,,,,
3,S000522,1953-03-04,N00009816,,2373 Rayburn House Office Building,0,RepChrisSmith,202-225-7768,H8NJ04014,1980,Chris Smith,M,SMITH,NJ04,R,202-225-3765,RepChrisSmith,26952,https://chrissmith.house.gov/contact/write.htm,http://chrissmith.house.gov,https://youtube.com/USRepChrisSmith,,S000522,N00009816,4,982.0,True,Chris Smith,R,/api/v1/lawmaker/982/,NJ,Rep.
4,G000583,1975-03-08,N00036944,,213 Cannon House Office Building,0,RepJoshG,,,2016,Josh Gottheimer,M,GOTTHEIMER,NJ05,D,202-225-4465,RepJoshG,,,https://gottheimer.house.gov,,,,,,,,,,,,
5,P000034,1951-10-30,N00000781,,237 Cannon House Office Building,0,repfrankpallone,202-225-9665,H8NJ03073,1988,Frank Pallone Jr.,M,PALLONE,NJ06,D,202-225-4671,FrankPallone,26951,https://pallone.house.gov/contact-me/email-me,https://pallone.house.gov,https://youtube.com/repfrankpallone,,P000034,N00000781,6,391.0,True,Frank Pallone,D,/api/v1/lawmaker/391/,NJ,Rep.
6,L000567,1952-06-25,N00000898,,2352 Rayburn House Office Building,0,CongressmanLance,202-225-9460,H6NJ12136,2008,Leonard Lance,M,LANCE,NJ07,R,202-225-5361,RepLanceNJ7,4443,https://lance.house.gov/contact-me1,http://lance.house.gov,https://youtube.com/CongressmanLance,,L000567,N00000898,7,841.0,True,Leonard Lance,R,/api/v1/lawmaker/841/,NJ,Rep.
7,S001165,1951-01-26,N00027523,,2342 Rayburn House Office Building,0,81058818750,202-226-0792,H6NJ13191,2006,Albio Sires,M,SIRES,NJ08,D,202-225-7919,RepSires,22510,https://sires.house.gov/contact-me/email-me,https://sires.house.gov,https://youtube.com/RepSiresNJ13,,S001165,N00027523,13,277.0,True,Albio Sires,D,/api/v1/lawmaker/277/,NJ,Rep.
8,P000096,1937-01-25,N00000751,,2370 Rayburn House Office Building,0,pascrell,202-225-5782,H6NJ08118,1996,Bill Pascrell Jr.,M,PASCRELL,NJ09,D,202-225-5751,BillPascrell,478,https://pascrell.house.gov/contact/email-me,http://pascrell.house.gov,https://youtube.com/RepPascrell,,P000096,N00000751,8,714.0,True,Bill Pascrell,D,/api/v1/lawmaker/714/,NJ,Rep.
9,P000096,1937-01-25,N00000751,,2370 Rayburn House Office Building,0,pascrell,202-225-5782,H6NJ08118,1996,Bill Pascrell Jr.,M,PASCRELL,NJ09,D,202-225-5751,BillPascrell,478,https://pascrell.house.gov/contact/email-me,http://pascrell.house.gov,https://youtube.com/RepPascrell,Bill Pascrell,P000096,N00000751,,17809.0,True,Silk PAC,,/api/v1/lawmaker/17809/,,
10,P000604,1958-12-17,N00034639,,132 Cannon House Office Building,0,DonaldPayneJr,202-225-4160,H2NJ10154,2012,Donald M Payne Jr.,M,PAYNE,NJ10,D,202-225-3436,RepDonaldPayne,90668,http://payne.house.gov/contact/email-me,http://payne.house.gov,,,,,,,,,,,,
11,F000372,1946-04-29,N00000684,,2306 Rayburn House Office Building,0,rfrelinghuysen,202-225-3186,H2NJ05014,1994,Rodney Frelinghuysen,M,FRELINGHUYSEN,NJ11,R,202-225-5034,USRepRodney,22177,https://frelinghuysenforms.house.gov/contact-form,https://frelinghuysen.house.gov,https://youtube.com/RepFrelinghuysen,,F000372,N00000684,11,327.0,True,Rodney Frelinghuysen,R,/api/v1/lawmaker/327/,NJ,Rep.
12,W000822,1945-02-06,N00036158,,1535 Longworth House Office Building,0,RepBonnie,202-225-6025,H4NJ12149,2014,Bonnie Coleman,F,COLEMAN,NJ12,D,202-225-5801,RepBonnie,,,https://watsoncoleman.house.gov,,,,,,,,,,,,
13,M000639,1954-01-01,N00000699,,528 Hart Senate Office Building,0,senatormenendez,202-228-2197,H2NJ13075,2006,Robert Menendez,M,MENENDEZ,NJS1,D,202-224-4744,SenatorMenendez,26961,https://www.menendez.senate.gov/contact,https://www.menendez.senate.gov,https://youtube.com/SenatorMenendezNJ,,M000639,N00000699,,368.0,True,Robert Menendez,D,/api/v1/lawmaker/368/,NJ,Sen.
14,M000639,1954-01-01,N00000699,,528 Hart Senate Office Building,0,senatormenendez,202-228-2197,H2NJ13075,2006,Robert Menendez,M,MENENDEZ,NJS1,D,202-224-4744,SenatorMenendez,26961,https://www.menendez.senate.gov/contact,https://www.menendez.senate.gov,https://youtube.com/SenatorMenendezNJ,Robert Menendez (D-NJ),M000639,N00000699,,869.0,True,New Millennium PAC,,/api/v1/lawmaker/869/,,
15,B001288,1969-04-27,N00035267,,359 Dirksen Senate Office Building,0,,202-224-8378,S4NJ00185,2013,Cory Booker,M,BOOKER,NJS2,D,202-224-3224,CoryBooker,76151,https://www.booker.senate.gov/?p=contact,https://www.booker.senate.gov,https://youtube.com/SenCoryBooker,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,2,16606.0,False,Tom White,D,/api/v1/lawmaker/16606/,NE,
17,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,False,Jon Elrod,R,/api/v1/lawmaker/24/,IN,Rep.
18,,,,,,,,,,,,,,,,,,,,,,,,,,121.0,False,Tom Loeffler,,/api/v1/lawmaker/121/,,Rep.
19,,,,,,,,,,,,,,,,,,,,,,,,,23,128.0,False,John McHugh,R,/api/v1/lawmaker/128/,NY,Rep.
20,,,,,,,,,,,,,,,,,,,,,,,,,11,213.0,False,Charles Taylor,R,/api/v1/lawmaker/213/,NC,Rep.
21,,,,,,,,,,,,,,,,,,,,,,,,,2,219.0,False,Doug Roulstone,R,/api/v1/lawmaker/219/,WA,
22,,,,,,,,,,,,,,,,,,,,,,,,,,236.0,False,Blue Dog Coalition,,/api/v1/lawmaker/236/,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,266.0,False,Tom Kean,,/api/v1/lawmaker/266/,NJ,
24,,,,,,,,,,,,,,,,,,,,,,,,,,269.0,False,GOP Majority Fund 2006,,/api/v1/lawmaker/269/,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,317.0,False,Chuck Blasdel,R,/api/v1/lawmaker/317/,OH,
26,,,,,,,,,,,,,,,,,,,,,,,,,,323.0,False,Phyllis Busansky,D,/api/v1/lawmaker/323/,FL,
27,,,,,,,,,,,,,,,,,,,,,,,,,,332.0,False,Ray Hunkins,,/api/v1/lawmaker/332/,,
28,,,,,,,,,,,,,,,,,,,,,,,,,1,335.0,False,Mike Whalen,R,/api/v1/lawmaker/335/,IA,
29,,,,,,,,,,,,,,,,,,,,,,,,,1,339.0,False,Chris Wakim,R,/api/v1/lawmaker/339/,WV,
30,,,,,,,,,,,,,,,,,,,,,,,,,19,346.0,False,Darren Rigger,D,/api/v1/lawmaker/346/,NY,
31,,,,,,,,,,,,,,,,,,,,,,,,,4,347.0,False,Diane Farrell,D,/api/v1/lawmaker/347/,CT,
32,,,,,,,,,,,,,,,,,,,,,,,,,8,359.0,False,Darcy Burner,D,/api/v1/lawmaker/359/,WA,
33,,,,,,,,,,,,,,,,,,,,,,,,,5,374.0,False,Ralph Norman,R,/api/v1/lawmaker/374/,SC,
34,,,,,,,,,,,,,,,,,,,,,,,,,,380.0,False,Mary Taylor,,/api/v1/lawmaker/380/,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,430.0,False,Larry LaRocco,D,/api/v1/lawmaker/430/,ID,
36,,,,,,,,,,,,,,,,,,,,,,,,,,451.0,False,Democratic Senatorial Campaign Committee,,/api/v1/lawmaker/451/,,
37,,,,,,,,,,,,,,,,,,,,,,,,,84,487.0,False,Tom Cross,R,/api/v1/lawmaker/487/,IL,Rep.
38,,,,,,,,,,,,,,,,,,,,,,,,,,16607.0,False,,,/api/v1/lawmaker/16607/,,
39,,,,,,,,,,,,,,,,,,,,,,,,,5,566.0,False,Susan Bitter Smith,R,/api/v1/lawmaker/566/,AZ,Rep.
40,,,,,,,,,,,,,,,,,,,,,,,,,,600.0,False,Mi Lead Fund,,/api/v1/lawmaker/600/,,
41,,,,,,,,,,,,,,,,,,,,,,,,,,603.0,False,Jim Hunt,D,/api/v1/lawmaker/603/,MT,
42,,,,,,,,,,,,,,,,,,,,,,Gov. Janet Napolitano (D-AZ),,,,620.0,False,Competitive Edge PAC,,/api/v1/lawmaker/620/,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,624.0,False,Minneapolis Saint Paul 2008 Host Committee,,/api/v1/lawmaker/624/,,
44,,,,,,,,,,,,,,,,,,,,,,,,,26,682.0,False,Jon Powers,D,/api/v1/lawmaker/682/,NY,Rep.
45,,,,,,,,,,,,,,,,,,,,,,,,,,705.0,False,Goddard-Georgia Victory Committee,,/api/v1/lawmaker/705/,,
46,,,,,,,,,,,,,,,,,,,,,,,,,,712.0,False,Langston Legacy Course,,/api/v1/lawmaker/712/,,
47,,,,,,,,,,,,,,,,,,,,,,,,,,716.0,False,Washington National Opera Democratic Cultural Caucus,,/api/v1/lawmaker/716/,,
48,,,,,,,,,,,,,,,,,,,,,,,,,,718.0,False,Washington National Opera Republican Cultural Caucus,,/api/v1/lawmaker/718/,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,722.0,False,National Campaign to Stop Violence,,/api/v1/lawmaker/722/,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,728.0,False,Committee For a Democratic Future,,/api/v1/lawmaker/728/,,
51,,,,,,,,,,,,,,,,,,,,,,,,,,735.0,False,HEAT PAC,,/api/v1/lawmaker/735/,,
52,,,,,,,,,,,,,,,,,,,,,,,,,,744.0,False,"First Tee of Washington, D.C.",,/api/v1/lawmaker/744/,,
53,,,,,,,,,,,,,,,,,,,,,,,,,,748.0,False,Bipartisan Policy Center,,/api/v1/lawmaker/748/,,
54,,,,,,,,,,,,,,,,,,,,,,,,,,753.0,False,Congressional Black Caucus PAC,,/api/v1/lawmaker/753/,,
55,,,,,,,,,,,,,,,,,,,,,,,,,,770.0,False,"HM&C Center Stage, LLC",,/api/v1/lawmaker/770/,,
56,,,,,,,,,,,,,,,,,,,,,,,,,,772.0,False,Center Stage Convention Working Group,,/api/v1/lawmaker/772/,,
57,,,,,,,,,,,,,,,,,,,,,,,,,,775.0,False,GOPAC,,/api/v1/lawmaker/775/,,
58,,,,,,,,,,,,,,,,,,,,,,,,,,777.0,False,Republican Governors Association,,/api/v1/lawmaker/777/,,
59,,,,,,,,,,,,,,,,,,,,,,,,,,781.0,False,Delaware Democratic Party,,/api/v1/lawmaker/781/,,
60,,,,,,,,,,,,,,,,,,,,,,,,,1,786.0,False,Patricia Madrid,D,/api/v1/lawmaker/786/,NM,
61,,,,,,,,,,,,,,,,,,,,,,,,,,804.0,False,Harris Wofford,D,/api/v1/lawmaker/804/,PA,Sen.
62,,,,,,,,,,,,,,,,,,,,,,,,,,808.0,False,Project Angel Heart,,/api/v1/lawmaker/808/,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,810.0,False,NAB,,/api/v1/lawmaker/810/,,
64,,,,,,,,,,,,,,,,,,,,,,,,,17,811.0,False,Van Taylor,R,/api/v1/lawmaker/811/,TX,
65,,,,,,,,,,,,,,,,,,,,,,,,,,825.0,False,Congressional Trust 2008,,/api/v1/lawmaker/825/,,
66,,,,,,,,,,,,,,,,,,,,,,,,,,832.0,False,Democratic Congressional Campaign Committee,,/api/v1/lawmaker/832/,,
67,,,,,,,,,,,,,,,,,,,,,,,,,4,845.0,False,Jeff Thompson,R,/api/v1/lawmaker/845/,LA,
68,,,,,,,,,,,,,,,,,,,,,,,,,,854.0,False,Florida Delivers Leadership PAC,,/api/v1/lawmaker/854/,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,857.0,False,"VOLPAC
Reception 8C Dinner",,/api/v1/lawmaker/857/,,
70,,,,,,,,,,,,,,,,,,,,,,,,,,863.0,False,Jeanne Lambrew,,/api/v1/lawmaker/863/,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,864.0,False,Scott Greenberger,,/api/v1/lawmaker/864/,,
72,,,,,,,,,,,,,,,,,,,,,,,,,,867.0,False,Steve Bullock,,/api/v1/lawmaker/867/,,
73,,,,,,,,,,,,,,,,,,,,,,,,,26,868.0,False,Liz Krueger,D,/api/v1/lawmaker/868/,NY,Sen.
74,,,,,,,,,,,,,,,,,,,,,,,,,,884.0,False,WCF,,/api/v1/lawmaker/884/,,
75,,,,,,,,,,,,,,,,,,,,,,,,,,891.0,False,TOMPAC,,/api/v1/lawmaker/891/,,
76,,,,,,,,,,,,,,,,,,,,,,,,,,904.0,False,Women Impacting the Nation,,/api/v1/lawmaker/904/,,
77,,,,,,,,,,,,,,,,,,,,,,,,,,912.0,False,Tuesday Group PAC,,/api/v1/lawmaker/912/,,
78,,,,,,,,,,,,,,,,,,,,,,,,,,936.0,False,Lauch Faircloth,R,/api/v1/lawmaker/936/,NC,
79,,,,,,,,,,,,,,,,,,,,,,,,,13,968.0,False,Craig Foltin,R,/api/v1/lawmaker/968/,OH,
80,,,,,,,,,,,,,,,,,,,,,,,,,,990.0,False,National Republican Congressional Committee,,/api/v1/lawmaker/990/,,
81,,,,,,,,,,,,,,,,,,,,,,,,,,995.0,False,Gary Lytle,,/api/v1/lawmaker/995/,,
82,,,,,,,,,,,,,,,,,,,,,,,,,,996.0,False,Rick Murphy,,/api/v1/lawmaker/996/,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,997.0,False,Bob Harris,,/api/v1/lawmaker/997/,,
84,,,,,,,,,,,,,,,,,,,,,,,,,,998.0,False,John Eichberger,,/api/v1/lawmaker/998/,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,999.0,False,Chad Bradley,,/api/v1/lawmaker/999/,,
86,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,False,Chuck Penry,,/api/v1/lawmaker/1000/,,
87,,,,,,,,,,,,,,,,,,,,,,,,,,1001.0,False,Tim Punke,,/api/v1/lawmaker/1001/,,
