,address1,address2,city,id,resource_uri,state,venue_name,zipcode
0,901 New York Ave NW,,Washington,3,/api/v1/venue/3/,DC,Acadiana,20001
1,401 9th Street NW,,Washington,4,/api/v1/venue/4/,DC,Caucus Room,20004
2,1001 Pennsylvania Ave NW,Suite 601,Washington,8,/api/v1/venue/8/,DC,Ernst & Young LLP,20005
3,403 C Street NE,,Washington,12,/api/v1/venue/12/,DC,Credit Union House,20002
4,1201 F St NW,Suite 200,Washington,14,/api/v1/venue/14/,DC,,20004
5,15 E Street NW,,Washington,15,/api/v1/venue/15/,DC,Bistro Bis,20001
6,400 First Street SE,,Washington,16,/api/v1/venue/16/,DC,Tortilla Coast,20003
7,2 Massachussets Ave NE,,Washington,17,/api/v1/venue/17/,DC,Capitol City Brewing Company,20001
8,101 Constitution Ave NW,,Washington,22,/api/v1/venue/22/,DC,Charlie Palmer Steak,20001
9,122 Maryland Ave NE,,Washington,25,/api/v1/venue/25/,DC,The Washington Home of Stewart R. Mott,20002
10,425 2nd Street NE,,Washington,27,/api/v1/venue/27/,DC,National Republican Senatorial Committee,20002
11,1151 North State Street,,Elgin,30,/api/v1/venue/30/,IL,Judson University,60123
12,201 Massachusetts Ave NE,,Washington,33,/api/v1/venue/33/,DC,Lounge 201,20002
13,237 2nd Street Northwest,,Washington,37,/api/v1/venue/37/,DC,My Brother's Place,20001
14,1101 K St,,Washington,40,/api/v1/venue/40/,DC,Brasserie Beck,20005
15,601 F Street NW,,Washington,45,/api/v1/venue/45/,DC,Verizon Center,20004
16,713 H St NW,,Washington,48,/api/v1/venue/48/,DC,Matchbox Vintage Pizza Bistro,20001
17,613 E Street SE,,Washington,51,/api/v1/venue/51/,DC,The Home of Congresswoman Davis,20003
18,,,,54,/api/v1/venue/54/,,The home of Dianne Feinstein,
19,215 Pennsylvania Ave SE,,Washington,56,/api/v1/venue/56/,DC,Hunan Dynasty,20003
20,412 First Street SE,Second Floor,Washington,59,/api/v1/venue/59/,DC,Offices of the National Automobile Association,
21,191 Peachtree Street,,Atlanta,61,/api/v1/venue/61/,GA,One Ninety One Club,30303
22,107 D Street NE,,Washington,65,/api/v1/venue/65/,DC,The Monocle Restaurant,20002
23,319 Pennsylvannia Ave SE,,Washington,72,/api/v1/venue/72/,DC,Top of the Hill,20003
24,4508 Hoban Road NW,,Washington,81,/api/v1/venue/81/,DC,Ferguson Residence,
25,223 Pennsylvania Ave SE,,Washington,82,/api/v1/venue/82/,DC,Sonoma Restaurant and Wine Bar,20003
